# Wavelength [nm]	Power [dBm]
1506.5180000000	-68.6499874000
1506.5200000000	-70.3246097000
1506.5220000000	-75.0875988000
1506.5240000000	-100.0000000000
1506.5260000000	-100.0000000000
1506.5280000000	-100.0000000000
1506.5300000000	-100.0000000000
1506.5320000000	-100.0000000000
1506.5340000000	-100.0000000000
1506.5360000000	-100.0000000000
1506.5380000000	-100.0000000000
1506.5400000000	-100.0000000000
1506.5420000000	-100.0000000000
1506.5440000000	-100.0000000000
1506.5460000000	-100.0000000000
1506.5480000000	-100.0000000000
1506.5500000000	-100.0000000000
1506.5520000000	-100.0000000000
1506.5540000000	-100.0000000000
1506.5560000000	-100.0000000000
1506.5580000000	-100.0000000000
1506.5600000000	-100.0000000000
1506.5620000000	-100.0000000000
1506.5640000000	-100.0000000000
1506.5660000000	-100.0000000000
1506.5680000000	-100.0000000000
1506.5700000000	-100.0000000000
1506.5720000000	-100.0000000000
1506.5740000000	-100.0000000000
1506.5760000000	-100.0000000000
1506.5780000000	-100.0000000000
1506.5800000000	-100.0000000000
1506.5820000000	-100.0000000000
1506.5840000000	-100.0000000000
1506.5860000000	-100.0000000000
1506.5880000000	-100.0000000000
1506.5900000000	-100.0000000000
1506.5920000000	-100.0000000000
1506.5940000000	-100.0000000000
1506.5960000000	-100.0000000000
1506.5980000000	-100.0000000000
1506.6000000000	-100.0000000000
1506.6020000000	-100.0000000000
1506.6040000000	-100.0000000000
1506.6060000000	-100.0000000000
1506.6080000000	-100.0000000000
1506.6100000000	-100.0000000000
1506.6120000000	-100.0000000000
1506.6140000000	-100.0000000000
1506.6160000000	-100.0000000000
1506.6180000000	-100.0000000000
1506.6200000000	-100.0000000000
1506.6220000000	-100.0000000000
1506.6240000000	-100.0000000000
1506.6260000000	-100.0000000000
1506.6280000000	-100.0000000000
1506.6300000000	-100.0000000000
1506.6320000000	-100.0000000000
1506.6340000000	-100.0000000000
1506.6360000000	-100.0000000000
1506.6380000000	-100.0000000000
1506.6400000000	-100.0000000000
1506.6420000000	-100.0000000000
