# Wavelength [nm]	Power [dBm]
1531.6580000000	-100.0000000000
1531.6600000000	-92.6268553000
1531.6620000000	-88.2327426000
1531.6640000000	-87.3790005000
1531.6660000000	-87.6955073000
1531.6680000000	-86.7321120000
1531.6700000000	-86.5039077000
1531.6720000000	-85.7929485000
1531.6740000000	-84.7625304000
1531.6760000000	-84.1101169000
1531.6780000000	-84.0864576000
1531.6800000000	-84.2893396000
1531.6820000000	-85.4546055000
1531.6840000000	-85.7939779000
1531.6860000000	-86.6031273000
1531.6880000000	-93.4621641000
1531.6900000000	-100.0000000000
1531.6920000000	-100.0000000000
1531.6940000000	-100.0000000000
1531.6960000000	-100.0000000000
1531.6980000000	-98.5354848000
1531.7000000000	-100.0000000000
1531.7020000000	-100.0000000000
1531.7040000000	-100.0000000000
1531.7060000000	-100.0000000000
1531.7080000000	-100.0000000000
1531.7100000000	-100.0000000000
1531.7120000000	-100.0000000000
1531.7140000000	-100.0000000000
1531.7160000000	-100.0000000000
1531.7180000000	-100.0000000000
1531.7200000000	-100.0000000000
1531.7220000000	-100.0000000000
1531.7240000000	-100.0000000000
1531.7260000000	-100.0000000000
1531.7280000000	-100.0000000000
1531.7300000000	-100.0000000000
1531.7320000000	-100.0000000000
1531.7340000000	-100.0000000000
1531.7360000000	-100.0000000000
1531.7380000000	-100.0000000000
